Code: TATAMOTORS
Link: https://query1.finance.yahoo.com/v7/finance/options/TATAMOTORS.BO

All values in multiples of ,INR,1

BALANCE SHEETS

Date                          ,  2009-03,  2010-03,  2011-03,  2012-03,  2013-03,  2014-03,  2015-03,  2016-03,  2017-03,  2018-03,  2019-03,  2020-03,  2020-09

ChangeCurrentLiabilities      ,         ,10075000000,5124000000,14516000000,14057000000,15205000000,15262000000,7429000000,21042000000,6899000000,-3464000000,-6168000000
AdjustmentsRetainedEarnings   ,         ,2465000000,2385000000,2982000000,3560000000,4749000000,4861000000,4889000000,4238000000,4682000000,5759000000,7243000000
ChangeCurrentAssets           ,         ,2797000000,8462000000,20170000000,11690000000,25996000000,-7554000000,343000000,18496000000,30131000000,-4302000000,-3013000000
ChangeLongTermAssets          ,         ,-963000000,-5467000000,-9813000000,-2211000000,-17092000000,-5609000000,12715000000,-5859000000,-24227000000,-29488000000,-22188000000
CashFlowOperations            ,         ,10706000000,4514000000,7141000000,8138000000,11050000000,33286000000,-740000000,12643000000,5677000000,36085000000,26276000000

ChangePPE                     ,         ,2849000000,-3096000000,5295000000,8426000000,2712000000,34339000000,-16618000000,15461000000,12331000000,54557000000,36071000000
ChangeInvestments             ,         ,962000000,325000000,6374000000,-153000000,1922000000,4650000000,8430000000,-3429000000,475000000,-5042000000,537000000
CashFlowInvestments           ,         ,-3811000000,2771000000,-11669000000,-8273000000,-4634000000,-38989000000,8188000000,-12032000000,-12806000000,-49515000000,-36608000000

StockSalesAndPurchase         ,         , 57000000, 64000000,        0,  3000000,  6000000,        0, 35000000,        0,        0,        0, 41000000
ChangeDebt                    ,         ,134000000,-2297000000,14338000000,6567000000,6926000000,12968000000,-4250000000,9244000000,10346000000,17225000000,18613000000
CashFlowInterests             ,         ,2465000000,2385000000,2982000000,3560000000,4749000000,4861000000,4889000000,4238000000,4682000000,5759000000,7243000000
CashFlowFinancing             ,         ,-2274000000,-4618000000,11356000000,3010000000,2183000000,8107000000,-9104000000,5006000000,5664000000,11466000000,11411000000

CashFlowOperations            ,         ,10706000000,4514000000,7141000000,8138000000,11050000000,33286000000,-740000000,12643000000,5677000000,36085000000,26276000000
CashFlowInvestments           ,         ,-3811000000,2771000000,-11669000000,-8273000000,-4634000000,-38989000000,8188000000,-12032000000,-12806000000,-49515000000,-36608000000
CashFlowFinancing             ,         ,-2274000000,-4618000000,11356000000,3010000000,2183000000,8107000000,-9104000000,5006000000,5664000000,11466000000,11411000000
NetCashFlow                   ,         ,4621000000,2667000000,6828000000,2875000000,8599000000,2404000000,-1656000000,5617000000,-1465000000,-1964000000,1079000000



PROFIT LOSS - QUARTERLY

Begin Date                    ,  2017-12,  2018-03,  2018-06,  2018-09,  2018-12,  2019-03,  2019-06,  2019-09,  2019-12,  2020-03,  2020-06,  2020-09
End Date                      ,  2018-03,  2018-06,  2018-09,  2018-12,  2019-03,  2019-06,  2019-09,  2019-12,  2020-03,  2020-06,  2020-09,  2020-12

OperatingRevenue              ,89929000000,66701000000,71981000000,76916000000,86422000000,61467000000,65432000000,71676000000,62493000000,31983000000,53530000000,75654000000
Revenue                       ,89929000000,66701000000,71981000000,76916000000,86422000000,61467000000,65432000000,71676000000,62493000000,31983000000,53530000000,75654000000

CostMaterial                  ,51219200000,40727700000,42146560000,46012850000,51747300000,38095850000,35674630000,41789800000,40173900000,19406000000,29883420000,40020120000
DirectExpenses                ,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
COGS                          ,51219200000,40727700000,42146560000,46012850000,51747300000,38095850000,35674630000,41789800000,40173900000,19406000000,29883420000,40020120000

Revenue                       ,89929000000,66701000000,71981000000,76916000000,86422000000,61467000000,65432000000,71676000000,62493000000,31983000000,53530000000,75654000000
COGS                          ,51219200000,40727700000,42146560000,46012850000,51747300000,38095850000,35674630000,41789800000,40173900000,19406000000,29883420000,40020120000
